NAME,TICKER,REGION,SECTOR,SEGMENT,MARKET CAP,E VALUE,PRICE,H REV GROWTH,H EPS GROWTH,H FCF GROWTH,H OP MARGIN,H FCF MARGIN,H ORGANIC,H INORGANIC,H DIVIDENDS,H REPURCHASES,H DEBT AMORTIZATION,H ROIC,H DEBT NET EBITDA,H PER,H EVFCF,H MAX DROP,H CAGR,C OP MARGIN,C FCF MARGIN,C ORGANIC,C INORGANIC,C DIVIDENDS,C REPURCHASES,C DEBT AMORTIZATION,C ROIC,C DEBT NET EBIDA,C PER,C EVFCF,C DROP
Lululemon Athletica Inc,LULU,US,Consumer Discretionary,Consumer Discretionary,42432.07,42757.75,248.7,0.21,0.29,0.38,0.2,0.13,0.25,0.08,0.0,0.65,0.0,0.25,-1.1,30,40.0,-0.54,0.18,0.23,0.2,0.14,0.0,0.0,0.3,0.0,-0.59,-0.9,26.0,30.0,-0.31
Nestlé SA,NESN,CH,Consumer Staple,Food Industry,230824.0,287288,87.72,4.0,0.04,0.17,0.17,0.11,0.2,0.24,0.8,0.56,0.03,0.13,1.6,21,,-0.39,0.02,0.17,0.12,0.25,0.07,0.7,0.4,0.0,0.12,2.8,20.0,25.0,-0.31
Ashtead Group plc,AHT,GB,Financial,Leasing,19922.2,28455.88,45.88,0.21,0.25,,,,,,,,,,,15,,-0.45,0.15,,,,,,,,,,12.0,,-0.31
The Goldman Sachs Group Inc,GS,US,Financial,Consumer Bank,184964.25,,580.59,0.06,0.31,,,,,,,,,,,10,,-0.32,0.12,,,,,,,,,,10.0,,-0.19
JPMorgan Chase & Company,JPM,US,Financial,Consumer Bank,689352,,248.11,0.08,0.1,,,,,,,,,,,12,,-0.44,0.15,,,,,,,,,,12.0,,-0.13
Citigroup Inc,C,US,Financial,Consumer Bank,133006.57,,71.81,0.01,0.06,,,,,,,,,,,9,,-0.48,0.03,,,,,,,,,,9.0,,-0.19
Brunello Cucinelli,BC,IT,Luxury Goods,,8182.6,8905.6,120.4,0.14,0.76,-0.05,0.13,0.06,0.2,0.02,0.76,0.02,1.22,0.11,0.5,43,,-0.36,0.22,0.17,0.02,0.0,0.0,1.96,0.16,2.33,0.11,0.2,57.0,73.0,-0.12
Industria de Diseño Textil SA,ITX,ES,Manufacturing,Apparel,156235.67,150588.67,50.66,0.09,0.21,0.25,0.16,0.14,0.1,0.0,0.49,0.01,0.28,0.23,-1.4,25,25.0,-0.38,0.13,0.19,0.17,0.0,0.0,0.62,0.0,0.29,0.27,-1.3,26.0,23.0,-0.1
Amazon Inc,AMZN,US,Technology,"Cloud Computing, Ecommerce, AI",2208143.89,2262341.89,208.3,0.22,0.78,1.2,0.05,0.06,0.49,0.44,0.0,0.09,0.57,0.22,-0.6,65,37.0,-0.54,0.27,0.11,0.11,0.37,0.1,0.0,0.0,0.17,0.25,-0.3,35.0,33.0,-0.14
Apple Inc,AAPL,US,Technology,Mobile Devices,3541303.49,3496734.49,234.5,0.06,0.13,0.09,0.28,0.24,0.02,0.01,0.21,0.96,0.03,0.44,0.4,26,25.0,-0.37,0.22,0.32,0.25,0.0,0.0,0.16,1,0.06,0.66,0.4,31.0,30.0,-0.09
Visa Inc,V,US,Technology,Payment Network,688987.44,696166.41,346.36,0.11,0.18,0.14,0.66,0.49,0.02,0.17,0.21,0.79,0.06,0.24,0.2,25,25.0,-0.29,0.18,0.67,0.49,0.02,0.05,0.24,0.95,0.0,0.35,0.2,32.0,32.0,-0.04
