NAME,TICKER,REGION,SECTOR,SEGMENT,MARKET CAP,E VALUE,PRICE,H REV GROWTH,H EPS GROWTH,H FCF GROWTH,H OP MARGIN,H FCF MARGIN,H ORGANIC,H INORGANIC,H DIVIDENDS,H REPURCHASES,H DEBT AMORTIZATION,H ROIC,H DEBT NET EBITDA,H PER,H EVFCF,H MAX DROP,H CAGR,C OP MARGIN,C FCF MARGIN,C ORGANIC,C INORGANIC,C DIVIDENDS,C REPURCHASES,C DEBT AMORTIZATION,C ROIC,C DEBT NET EBIDA,C PER,C EVFCF,C DROP,E REV GROWTH,E EPS GROWTH,E FCF GROWTH,E OP MARGIN,E FCF MARGIN,E DEBT NET EBITDA,E PER,E EVFCF,PRICE PESIMIST,CY MOS PESIMIST,OY MOS PESIMIST,5Y CAGR PESIMIST,PRICE NEUTRAL,CY MOS NEUTRAL,OY MOS NEUTRAL,5Y CAGR NEUTRAL
Airbus SE,AIR,FR,Aerospace and Defense,Commercial Aviation,136363.71,132003.67,175.0,0.02,0.12,0.18,0.05,0.08,4.0,0.05,0.48,0.22,0.21,0.07,-0.7,20,,-0.65,0.11,0.07,0.09,0.25,0.04,0.34,0.04,0.07,0.11,-0.9,18.0,22.0,-0.03,0.11,0.23,0.14,0.11,0.1,-0.9,20,20,288.0,0.0,0.64,0.11,328.0,0.14,0.88,0.13
Adidas AG,ADS,DE,Consumer Discretionary,Sport Apparel,42209.0,45658.0,242.6,0.04,0.1,0.11,0.07,0.06,0.18,0.04,0.27,0.27,0.29,0.11,0.1,22,23.0,-0.72,0.12,0.06,0.06,0.0,0.0,0.08,0.02,0.77,0.09,-0.01,22.0,35.0,-0.3,0.09,0.09,0.17,0.11,0.07,0.1,25,25,289.0,-0.44,0.19,0.04,438.0,-0.29,0.81,0.13
Nike Inc,NKE,US,Consumer Discretionary,Sport Apparel,115090.86,117394.86,77.0,0.06,0.2,0.15,0.13,0.1,0.08,0.0,0.39,1.0,0.03,0.25,-0.4,29,29.0,-0.51,0.05,0.13,0.13,0.0,0.0,0.33,0.64,0.0,0.23,-0.3,33.0,,-0.56,0.04,0.06,0.01,0.1,0.08,-0.3,25,25,104.0,-0.13,0.45,0.06,104.0,-0.13,0.45,0.06
Lululemon Athletica Inc,LULU,US,Consumer Discretionary,Consumer Discretionary,42432.07,42757.75,248.7,0.21,0.29,0.38,0.2,0.13,0.25,0.08,0.0,0.65,0.0,0.25,-1.1,30,40.0,-0.54,0.18,0.23,0.2,0.14,0.0,0.0,0.3,0.0,-0.59,-0.9,26.0,30.0,-0.31,0.09,0.1,0.05,0.23,0.15,-0.9,25,25,370.0,-0.33,0.06,0.03,500.0,-0.15,0.43,0.07
Nestlé SA,NESN,CH,Consumer Staple,Food Industry,230824.0,287288.0,87.72,0.0,0.04,0.17,0.17,0.11,0.2,0.24,0.8,0.56,0.03,0.13,1.6,21,,-0.39,0.02,0.17,0.12,0.25,0.07,0.7,0.4,0.0,0.12,2.8,20.0,25.0,-0.31,0.04,0.07,0.03,0.17,0.12,2.5,25,25,92.0,-0.18,0.05,0.01,114.0,0.02,0.3,0.05
Unilever PLC,ULVR,GB,Consumer Staple,,115796.0,138115.25,45.2,0.02,0.07,0.3,0.17,0.13,0.05,0.26,0.67,0.4,0.05,0.17,1.8,19,19.0,-0.28,0.05,0.18,0.2,0.03,0.07,0.36,0.13,0.0,0.16,1.8,14.0,16.0,-0.09,0.04,0.05,-0.02,0.19,0.14,1.8,20,20,67.0,0.12,0.48,0.08,75.0,0.27,0.67,0.11
The Procter & Gamble Company,PG,US,Consumer Staple,,412576.68,438096.68,174.89,0.04,0.08,0.03,0.22,0.19,0.03,0.05,0.6,0.5,0.09,1.15,1.1,22,22.0,-0.24,0.08,0.25,0.2,0.02,0.0,0.54,0.29,0.14,0.2,1.0,25.0,25.0,-0.02,0.03,0.04,0.03,0.25,0.21,1.1,22,22,162.0,-0.23,-0.07,-0.01,180.0,-0.15,0.03,0.01
The Coca Cola Company,KO,US,Consumer Staple,Beverage Industry,307220.46,340822.46,70.41,0.01,0.13,0.13,0.28,0.21,0.05,0.3,0.9,0.28,0.09,0.14,2.3,23,23.0,-0.37,0.06,0.3,0.23,0.09,0.03,0.77,0.17,0.0,0.17,2.0,26.0,30.0,-0.02,0.04,0.04,0.05,0.32,0.24,2.1,25,25,65.0,-0.27,-0.08,-0.02,72.0,-0.2,0.02,0.0
The Goldman Sachs Group Inc,GS,US,Financial,Consumer Bank,184964.25,,580.59,0.06,0.31,,,,,,,,,,,10,,-0.32,0.12,,,,,,,,,,10.0,,-0.19,0.05,0.09,,,,,10,,594.0,-0.21,0.24,0.01,660.0,-0.17,0.3,0.03
Citigroup Inc,C,US,Financial,Consumer Bank,133006.57,,71.81,0.01,0.06,,,,,,,,,,,9,,-0.48,0.03,,,,,,,,,,9.0,,-0.19,0.01,0.04,,,,,9,,63.0,-0.03,0.18,-0.02,71.0,0.03,0.24,0.0
