NAME,TICKER,REGION,SECTOR,SEGMENT,MARKET CAP,E VALUE,PRICE,H REV GROWTH,H EPS GROWTH,H FCF GROWTH,H OP MARGIN,H FCF MARGIN,H ORGANIC,H INORGANIC,H DIVIDENDS,H REPURCHASES,H DEBT AMORTIZATION,H ROIC,H DEBT NET EBITDA,H PER,H EVFCF,H MAX DROP,H CAGR,C OP MARGIN,C FCF MARGIN,C ORGANIC,C INORGANIC,C DIVIDENDS,C REPURCHASES,C DEBT AMORTIZATION,C ROIC,C DEBT NET EBIDA,C PER,C EVFCF,C DROP,E REV GROWTH,E EPS GROWTH,E FCF GROWTH,E OP MARGIN,E FCF MARGIN,E DEBT NET EBITDA,E PER,E EVFCF,PRICE PESIMIST,CY MOS PESIMIST,OY MOS PESIMIST,5Y CAGR PESIMIST,PRICE NEUTRAL,CY MOS NEUTRAL,OY MOS NEUTRAL,5Y CAGR NEUTRAL,,,,REGION,,,,Europeas,,,,SECTOR,,,,Cantidad,,Region
Alphabet Inc,GOOGL,US,Technology,"Digital Advertising, Cloud Computing, AI",$2.119.943,$2.052.423,$173,19%,28%,27%,26%,21%,36%,4%,1%,59%,1%,29%,-2,23,24,-44%,20%,33%,27%,39%,3%,8%,65%,0%,34%,"-0,6",20,,-16%,11%,14%,13%,34%,28%,"-0,6",25,25,$319,5%,85%,13%,$407,28%,135%,19%,,,,US,,26,,11,,,,Technology,,,,13,,"US, NL"
ASML Holding NV,ASML,NL,Technology,Semiconductors,€264.931,€257.244,€678,19%,22%,32%,29%,31%,14%,20%,28%,33%,1%,26%,"-0,5",27,27,-46%,22%,32%,24%,17%,0%,36%,7%,0%,33%,"-0,9",28,,-33%,12%,18%,26%,37%,38%,"-0,9",27,27,€1.332,9%,96%,14%,€1.492,22%,124%,17%,,,,NL,,1,,,,,,Financial,,,,8,,"US, GB, ES, CA"
Markel Group Inc,MKL,US,Financial,Insurance,$24.275,$26.782,$1.903,14%,20%,,,,,,,,,,,24,,-30%,9%,,,,,,,,,,8,,-28%,11%,6%,,,,,15,,$3.057,25%,81%,10%,$3.821,40%,100%,15%,,,,FR,,4,,,,,,Aerospace and Defense,,,,1,,FR
Meta Platforms Inc,META,US,Technology,"Digital Advertising, AI",$1.263.271,$1.635.225,$648,29%,45%,39%,40%,33%,39%,2%,1%,54%,1%,29%,"-1,4",23,,-75%,23%,41%,39%,34%,0%,8%,69%,0%,30%,"-0,6",27,26,-12%,13%,14%,13%,41%,37%,"-0,6",25,25,$1.150,-1%,77%,12%,$1.283,1%,98%,15%,,,,DE,,1,,,,,,Consumer Discretionary,,,,3,,"DE, US"
Microsoft Corporation,MSFT,US,Technology,"Enterprise Software, Cloud Computing, AI",$2.981.176,$3.012.530,$401,11%,27%,25%,36%,31%,16%,33%,38%,49%,9%,55%,"-1,1",30,34,-37%,25%,45%,40%,30%,71%,22%,18%,0%,29%,"-0,2",30,27,-14%,14%,18%,14%,47%,39%,"-0,2",30,30,$664,1%,64%,11%,$793,10%,98%,15%,,,,GB,,2,,,,,,Retail,,,,4,,"FR, US"
Nvidia Corporation,NVDA,US,Technology,Semiconductors,$2.862.120,$2.829.180,$114,50%,98%,100%,34%,25%,8%,21%,11%,76%,4%,56%,"-1,4",39,40,-65%,71%,62%,45%,3%,2%,1%,69%,2%,128%,"-0,4",27,30,-24%,22%,21%,24%,59%,48%,"-0,4",30,30,$164,-15%,45%,8%,$224,1%,97%,14%,,,,IT,,2,,,,,,Luxury Goods,,,,4,,"IT, FR"
Airbus SE,AIR,FR,Aerospace and Defense,Commercial Aviation,€136.364,€132.004,€175,2%,12%,18%,5%,8%,400%,5%,48%,22%,21%,7%,"-0,7",20,,-65%,11%,7%,9%,25%,4%,34%,4%,7%,11%,"-0,9",18,22,-3%,11%,23%,14%,11%,10%,"-0,9",20,20,€288,0%,64%,11%,€328,14%,88%,13%,,,,ES,,2,,,,,,Consumer Staple,,,,4,,"GB, CH, US"
Adidas AG,ADS,DE,Consumer Discretionary,Sport Apparel,€42.209,€45.658,€243,4%,10%,11%,7%,6%,18%,4%,27%,27%,29%,11%,"0,1",22,23,-72%,12%,6%,6%,0%,0%,8%,2%,77%,9%,"-0,01",22,35,-30%,9%,9%,17%,11%,7%,"0,1",25,25,€289,-44%,19%,4%,€438,-29%,81%,13%,,,,CA,,1,,,,,,Manufacturing,,,,1,,ES
Carrefour SA,CA,FR,Retail,,€8.414,€24.867,€13,1%,1%,8%,3%,2%,20%,23%,19%,20%,39%,6%,"2,1",10,10,-32%,-9%,2%,4%,0%,42%,18%,21%,0%,5%,"2,1",5,8,-39%,2%,4%,-3%,3%,3%,"2,1",10,10,€15,-4%,19%,3%,€24,51%,86%,13%,,,,CH,,1,,,,,,Restaurant Industry,,,,2,,US
Ashtead Group plc,AHT,GB,Financial,Leasing,£19.922,£28.456,£46,21%,25%,,,,,,,,,,,15,,-45%,15%,,,,,,,,,,12,,-31%,5%,9%,,,,,15,,£60,3%,77%,6%,£82,21%,100%,12%,,,,,,,,,,,,,,,,,,
