TICKER,E REV GROWTH,E EPS GROWTH,E FCF GROWTH,E OP MARGIN,E FCF MARGIN,E DEBT NET EBITDA,E PER,E EVFCF,PRICE PESIMIST,CY MOS PESIMIST,OY MOS PESIMIST,5Y CAGR PESIMIST,PRICE NEUTRAL,CY MOS NEUTRAL,OY MOS NEUTRAL,5Y CAGR NEUTRAL
MCD,0.05,0.08,0.06,0.47,0.36,2.8,25,25,306,-0.28,0,0,339,-0.21,0.11,0.02
JPM,0.08,0.07,,,,,12,,308,-0.1,-0.37,0.04,355,-0.05,0.56,0.07
KO,0.04,0.04,0.05,0.32,0.24,2.1,25,25,65,-0.27,-0.08,-0.02,72,-0.2,0.02,0
MSFT,0.14,0.18,0.14,0.47,0.39,-0.2,30,30,664,0.01,0.64,0.11,793,0.1,0.98,0.15
NESN,0.04,0.07,0.03,0.17,0.12,2.5,25,25,92,-0.18,0.05,0.01,114,0.02,0.3,0.05
GOOGL,0.11,0.14,0.13,0.34,0.28,-0.6,25,25,319,0.05,0.85,0.13,407,0.28,1.35,0.19
AIR,0.11,0.23,0.14,0.11,0.1,-0.9,20,20,288,0,0.64,0.11,328,0.14,0.88,0.13
C,0.01,0.04,,,,,9,,63,-0.03,0.18,-0.02,71,0.03,0.24,0
AMZN,0.1,0.14,0.16,0.14,0.13,-0.3,30,30,283,-0.27,0.36,0.06,360,-0.1,0.73,0.12
AHT,0.05,0.09,,,,,15,,60,0.03,0.77,0.06,82,0.21,1,0.12
COST,0.07,0.1,0.13,0.04,0.03,-0.5,40,40,868,-0.41,-0.16,-0.03,1150,-0.22,0.11,0.02
META,0.13,0.14,0.13,0.41,0.37,-0.6,25,25,1150,-0.01,0.77,0.12,1283,0.01,0.98,0.15
ITX,0.08,0.09,0.07,0.2,0.16,-1.4,25,25,69,0,0.36,0.06,81,0.17,0.59,0.1
SBUX,0.07,0.14,0.14,0.16,0.11,1.6,25,25,137,-0.37,0.24,0.04,137,-0.37,0.24,0.04
BC,0.1,0.16,0.11,0.17,0.08,0.2,40,40,86,-0.46,-0.2,-0.04,176,0.02,0.47,0.08
NVDA,0.22,0.21,0.24,0.59,0.48,-0.4,30,30,164,-0.15,0.45,0.08,224,0.01,0.97,0.14
HD,0.04,0.07,0.16,0.14,0.1,1.5,20,20,360,-0.26,-0.06,-0.01,360,-0.26,-0.06,-0.01
MKL,0.11,0.06,,,,,15,,3057,0.25,0.81,0.1,3821,0.4,1,0.15
MC,0.08,0.14,0.19,0.26,0.16,0.5,25,25,938,-0.16,0.4,0.07,1023,-0.08,0.53,0.09
GS,0.05,0.09,,,,,10,,594,-0.21,0.24,0.01,660,-0.17,0.3,0.03
AAPL,0.07,0.15,0.11,0.34,0.29,0.4,25,25,282,-0.18,0.2,0.04,304,-0.18,0.3,0.05
TSLA,0.15,0.23,1.8,0.11,0.06,-1.8,30,30,103,-0.96,-0.71,-0.22,146,-0.96,-0.56,-0.16
FFH,0.07,0.06,,,,,12,,2245,-0.09,0.37,0.02,2823,0,0.52,0.07
NKE,0.04,0.06,0.01,0.1,0.08,-0.3,25,25,104,-0.13,0.45,0.06,104,-0.13,0.45,0.06
WMT,0.05,0.07,0.14,0.05,0.03,0.8,25,25,78,-0.49,-0.18,-0.04,99,-0.35,0.05,0.01
NOW,0.2,0.2,0.13,0.16,0.13,-2,40,40,538,-0.72,-0.4,-0.1,1026,-0.47,0.15,0.03
LULU,0.09,0.1,0.05,0.23,0.15,-0.9,25,25,370,-0.33,0.06,0.03,500,-0.15,0.43,0.07
V,0.11,0.12,0.1,0.68,0.55,0.2,25,25,443,-0.22,0.28,0.05,443,-0.22,0.28,0.05
MONC,0.09,0.08,0.13,0.3,0.2,-1,25,25,89,-0.04,0.38,0.07,116,0.26,0.8,0.12
MAP,0.03,0.02,,,,,7,,3.4,0.18,0.62,0.05,4.54,0.37,0.83,0.11
MA,0.12,0.14,0.11,0.59,0.48,0.2,30,30,799,-0.22,0.4,0.08,856,-0.13,0.56,0.09
MSTR,0.02,-0.13,-0.07,-0.77,-1.41,-15,1,1,-40,-1.16,-1.14,-1.67,-40,-1.16,-1.14,-1.67
AL,0.07,0.09,,,,,7,,31,-0.18,0.02,-0.08,40,-0.13,0.13,-0.03
RMS,0.1,0.13,0.14,0.42,0.3,-1.7,40,40,2885,-0.31,0.08,0.01,2885,-0.31,0.08,0.01
ULVR,0.04,0.05,-0.02,0.19,0.14,1.8,20,20,67,0.12,0.48,0.08,75,0.27,0.67,0.11
PG,0.03,0.04,0.03,0.25,0.21,1.1,22,22,162,-0.23,-0.07,-0.01,180,-0.15,0.03,0.01
ADS,0.09,0.09,0.17,0.11,0.07,0.1,25,25,289,-0.44,0.19,0.04,438,-0.29,0.81,0.13
ASML,0.12,0.18,0.26,0.37,0.38,-0.9,27,27,1332,0.09,0.96,0.14,1492,0.22,1.24,0.17
PLTR,0.31,0.2,0.36,0.15,0.14,-5,70,70,17,-0.9,-0.8,-0.28,41,-0.79,-0.54,-0.14
CA,0.02,0.04,-0.03,0.03,0.03,2.1,10,10,15.4,-0.04,0.19,0.03,24,0.51,0.86,0.13
